transaction_number,maker,checker,status,type,capture_date,sla,team,score
105969,Name 11,Name 12,True,Single Deal,2025-01-01,1,Team B,100
312544,Name 14,Name 12,True,Single Deal,2025-01-02,2,Team B,99
751244,Name 9,Name 3,True,Master Deal,2025-01-02,1,Team A,100
258932,Name 11,Name 13,True,Single Deal,2025-01-02,1,Team B,98
388086,Name 5,Name 4,True,Single Deal,2025-01-02,2,Team A,100
315569,Name 7,Name 5,True,Single Deal,2025-01-02,3,Team A,99
678401,Name 9,Name 1,True,Master Deal,2025-01-03,3,Team A,100
661221,Name 2,Name 8,True,Single Deal,2025-01-03,3,Team A,99
254853,Name 5,Name 7,True,Single Deal,2025-01-04,1,Team A,100
328514,Name 9,Name 8,True,Single Deal,2025-01-04,1,Team A,100
140316,Name 3,Name 6,True,Master Deal,2025-01-04,3,Team A,100
514751,Name 9,Name 8,True,Single Deal,2025-01-05,1,Team A,100
549359,Name 1,Name 3,True,Single Deal,2025-01-05,3,Team A,100
238272,Name 9,Name 4,True,Single Deal,2025-01-05,1,Team A,98
381452,Name 3,Name 6,True,Single Deal,2025-01-05,2,Team A,100
749338,Name 1,Name 7,True,Single Deal,2025-01-07,2,Team A,100
173693,Name 5,Name 9,True,Single Deal,2025-01-07,3,Team A,98
441298,Name 8,Name 9,True,Master Deal,2025-01-07,4,Team A,100
820169,Name 10,Name 14,True,Single Deal,2025-01-08,5,Team B,100
355512,Name 11,Name 13,True,Master Deal,2025-01-08,1,Team B,100
921534,Name 10,Name 14,True,Single Deal,2025-01-08,4,Team B,100
534344,Name 13,Name 14,True,Master Deal,2025-01-09,3,Team B,100
788141,Name 1,Name 8,True,Master Deal,2025-01-09,3,Team A,100
284490,Name 9,Name 8,True,Master Deal,2025-01-09,3,Team A,100
561228,Name 9,Name 3,True,Single Deal,2025-01-09,2,Team A,98
211493,Name 13,Name 11,True,Single Deal,2025-01-09,3,Team B,100
228887,Name 11,Name 10,True,Single Deal,2025-01-10,2,Team B,100
250944,Name 13,Name 10,True,Single Deal,2025-01-10,2,Team B,100
448890,Name 5,Name 9,True,Master Deal,2025-01-11,5,Team A,100
910377,Name 11,Name 13,True,Single Deal,2025-01-11,2,Team B,100
436742,Name 12,Name 14,True,Single Deal,2025-01-11,1,Team B,100
313008,Name 10,Name 13,True,Single Deal,2025-01-12,1,Team B,97
857878,Name 7,Name 8,True,Single Deal,2025-01-12,9,Team A,100
107800,Name 14,Name 11,True,Single Deal,2025-01-12,5,Team B,98
953922,Name 6,Name 3,True,Single Deal,2025-01-12,2,Team A,99
205242,Name 2,Name 5,True,Single Deal,2025-01-12,2,Team A,100
952612,Name 2,Name 1,True,Single Deal,2025-01-13,3,Team A,100
532458,Name 2,Name 5,True,Single Deal,2025-01-13,4,Team A,100
799486,Name 1,Name 7,True,Single Deal,2025-01-13,1,Team A,98
571679,Name 2,Name 8,True,Single Deal,2025-01-13,2,Team A,100
928865,Name 13,Name 14,True,Single Deal,2025-01-13,2,Team B,100
937642,Name 12,Name 14,True,Single Deal,2025-01-14,3,Team B,100
694088,Name 1,Name 3,True,Single Deal,2025-01-14,2,Team A,100
606877,Name 7,Name 6,True,Single Deal,2025-01-14,4,Team A,100
270715,Name 6,Name 3,True,Single Deal,2025-01-14,1,Team A,98
964098,Name 12,Name 14,True,Single Deal,2025-01-15,1,Team B,100
383185,Name 13,Name 10,True,Single Deal,2025-01-15,2,Team B,100
535998,Name 4,Name 2,True,Master Deal,2025-01-15,4,Team A,100
610153,Name 5,Name 3,True,Master Deal,2025-01-17,4,Team A,100
718335,Name 2,Name 4,True,Single Deal,2025-01-18,1,Team A,100
355051,Name 4,Name 5,True,Single Deal,2025-01-18,2,Team A,100
741963,Name 2,Name 3,True,Single Deal,2025-01-18,1,Team A,98
458719,Name 9,Name 4,True,Single Deal,2025-01-19,1,Team A,99
828674,Name 12,Name 14,True,Master Deal,2025-01-20,1,Team B,98
742501,Name 14,Name 13,True,Single Deal,2025-01-20,4,Team B,100
215002,Name 9,Name 1,True,Single Deal,2025-01-20,1,Team A,98
913422,Name 6,Name 7,True,Single Deal,2025-01-20,1,Team A,100
866526,Name 6,Name 4,True,Single Deal,2025-01-21,4,Team A,99
512502,Name 14,Name 13,True,Single Deal,2025-01-21,2,Team B,99
926351,Name 5,Name 4,True,Single Deal,2025-01-22,1,Team A,100
731402,Name 9,Name 1,True,Single Deal,2025-01-22,2,Team A,100
509758,Name 5,Name 1,True,Master Deal,2025-01-22,1,Team A,99
617316,Name 14,Name 12,True,Master Deal,2025-01-22,3,Team B,100
808534,Name 9,Name 4,True,Single Deal,2025-01-22,3,Team A,100
656289,Name 13,Name 14,True,Single Deal,2025-01-22,1,Team B,100
592126,Name 9,Name 4,True,Single Deal,2025-01-23,8,Team A,100
401525,Name 5,Name 4,True,Single Deal,2025-01-23,2,Team A,98
895613,Name 9,Name 4,True,Single Deal,2025-01-23,2,Team A,100
477832,Name 6,Name 4,True,Single Deal,2025-01-23,2,Team A,99
416722,Name 11,Name 14,True,Single Deal,2025-01-23,1,Team B,100
170277,Name 5,Name 3,True,Single Deal,2025-01-24,3,Team A,100
212904,Name 9,Name 1,True,Single Deal,2025-01-24,1,Team A,100
888142,Name 8,Name 2,True,Single Deal,2025-01-25,1,Team A,99
815084,Name 5,Name 1,True,Master Deal,2025-01-25,2,Team A,100
305871,Name 8,Name 4,True,Single Deal,2025-01-26,2,Team A,100
686095,Name 14,Name 13,True,Master Deal,2025-01-27,2,Team B,100
195407,Name 14,Name 10,True,Master Deal,2025-01-28,2,Team B,100
945993,Name 2,Name 5,True,Single Deal,2025-01-28,1,Team A,99
350369,Name 11,Name 12,True,Single Deal,2025-01-29,1,Team B,98
782059,Name 4,Name 2,True,Single Deal,2025-01-29,1,Team A,100
946964,Name 10,Name 12,True,Master Deal,2025-01-30,2,Team B,99
532689,Name 14,Name 12,True,Single Deal,2025-01-31,4,Team B,100
745330,Name 2,Name 3,True,Master Deal,2025-01-31,4,Team A,100
913550,Name 3,Name 5,True,Master Deal,2025-01-31,1,Team A,100
317146,Name 14,Name 12,True,Master Deal,2025-01-31,2,Team B,99
728848,Name 6,Name 5,True,Single Deal,2025-02-01,5,Team A,99
221728,Name 13,Name 12,True,Single Deal,2025-02-01,2,Team B,99
450807,Name 2,Name 4,True,Single Deal,2025-02-01,2,Team A,100
509735,Name 7,Name 6,True,Single Deal,2025-02-01,1,Team A,100
509668,Name 13,Name 10,True,Master Deal,2025-02-01,2,Team B,100
828694,Name 3,Name 2,True,Single Deal,2025-02-02,1,Team A,99
300053,Name 11,Name 14,True,Single Deal,2025-02-02,5,Team B,100
117137,Name 13,Name 11,True,Single Deal,2025-02-03,5,Team B,100
505334,Name 3,Name 6,True,Single Deal,2025-02-04,4,Team A,100
738331,Name 10,Name 14,True,Single Deal,2025-02-04,2,Team B,99
735944,Name 10,Name 14,True,Single Deal,2025-02-04,1,Team B,98
890806,Name 4,Name 8,True,Single Deal,2025-02-04,2,Team A,98
722255,Name 5,Name 9,True,Single Deal,2025-02-04,1,Team A,100
414932,Name 4,Name 7,True,Single Deal,2025-02-04,5,Team A,99
121695,Name 9,Name 5,True,Master Deal,2025-02-04,1,Team A,100
950879,Name 2,Name 1,True,Single Deal,2025-02-05,2,Team A,100
542766,Name 10,Name 14,True,Single Deal,2025-02-06,4,Team B,100
185980,Name 8,Name 5,True,Master Deal,2025-02-06,2,Team A,99
308865,Name 14,Name 11,True,Single Deal,2025-02-06,2,Team B,100
525847,Name 11,Name 14,True,Master Deal,2025-02-07,2,Team B,98
642818,Name 1,Name 5,True,Master Deal,2025-02-07,2,Team A,100
892684,Name 14,Name 12,True,Single Deal,2025-02-08,2,Team B,99
742863,Name 11,Name 14,True,Master Deal,2025-02-08,2,Team B,100
854914,Name 4,Name 2,True,Master Deal,2025-02-09,1,Team A,100
254546,Name 4,Name 5,True,Single Deal,2025-02-09,1,Team A,100
257690,Name 1,Name 3,True,Single Deal,2025-02-10,2,Team A,100
